Word,Tag,Sentence_ID,STIX_Tag,Source
eagerly,O,4,O,CyNER
waiting,O,4,O,CyNER
Android,B-System,4,B-Software,CyNER
users,O,4,O,CyNER
.,O,4,O,CyNER
Details,O,5,O,CyNER
:,O,5,O,CyNER
Name,O,5,O,CyNER
:,O,5,O,CyNER
Super,B-System,5,B-Software,CyNER
Mario,I-System,5,I-Software,CyNER
Run,I-System,5,I-Software,CyNER
Package,O,5,O,CyNER
Name,O,5,O,CyNER
:,O,5,O,CyNER
net.droidjack.server,B-Indicator,5,B-Indicator,CyNER
MD5,O,5,O,CyNER
:,O,5,O,CyNER
69b4b32e4636f1981841cbbe3b927560,B-Indicator,5,B-Indicator,CyNER
Technical,O,5,O,CyNER
Analysis,O,5,O,CyNER
:,O,5,O,CyNER
The,O,5,O,CyNER
malicious,O,5,O,CyNER
package,O,5,O,CyNER
claims,O,5,O,CyNER
to,O,5,O,CyNER
be,O,5,O,CyNER
the,O,5,O,CyNER
Super,B-System,5,B-Software,CyNER
Mario,I-System,5,I-Software,CyNER
Run,I-System,5,I-Software,CyNER
game,O,5,O,CyNER
",",O,5,O,CyNER
as,O,5,O,CyNER
shown,O,5,O,CyNER
in,O,5,O,CyNER
the,O,5,O,CyNER
permissions,O,5,O,CyNER
screenshot,O,5,O,CyNER
below,O,5,O,CyNER
",",O,5,O,CyNER
but,O,5,O,CyNER
in,O,5,O,CyNER
reality,O,5,O,CyNER
this,O,5,O,CyNER
is,O,5,O,CyNER
a,O,5,O,CyNER
malicious,O,5,O,CyNER
RAT,O,5,O,CyNER
called,O,5,O,CyNER
DroidJack,B-Malware,5,B-Malware,CyNER
(,O,5,O,CyNER
also,O,5,O,CyNER
known,O,5,O,CyNER
as,O,5,O,CyNER
SandroRAT,B-Malware,5,B-Malware,CyNER
),O,5,O,CyNER
that,O,5,O,CyNER
is,O,5,O,CyNER
getting,O,5,O,CyNER
installed,O,5,O,CyNER
.,O,5,O,CyNER
Once,O,6,O,CyNER
installed,O,6,O,CyNER
",",O,6,O,CyNER
the,O,6,O,CyNER
RAT,O,6,O,CyNER
registers,O,6,O,CyNER
the,O,6,O,CyNER
infected,O,6,O,CyNER
device,O,6,O,CyNER
as,O,6,O,CyNER
shown,O,6,O,CyNER
below,O,6,O,CyNER
.,O,6,O,CyNER
DroidJack,B-Malware,7,B-Malware,CyNER
RAT,I-Malware,7,I-Malware,CyNER
starts,O,7,O,CyNER
capturing,O,7,O,CyNER
sensitive,O,7,O,CyNER
information,O,7,O,CyNER
like,O,7,O,CyNER
call,O,7,O,CyNER
data,O,7,O,CyNER
",",O,7,O,CyNER
SMS,O,7,O,CyNER
data,O,7,O,CyNER
",",O,7,O,CyNER
videos,O,7,O,CyNER
",",O,7,O,CyNER
photos,O,7,O,CyNER
",",O,7,O,CyNER
etc,O,7,O,CyNER
.,O,7,O,CyNER
Observe,O,8,O,CyNER
below,O,8,O,CyNER
the,O,8,O,CyNER
code,O,8,O,CyNER
routine,O,8,O,CyNER
for,O,8,O,CyNER
call,O,8,O,CyNER
recording,O,8,O,CyNER
.,O,8,O,CyNER
This,O,9,O,CyNER
RAT,O,9,O,CyNER
records,O,9,O,CyNER
all,O,9,O,CyNER
the,O,9,O,CyNER
calls,O,9,O,CyNER
and,O,9,O,CyNER
stores,O,9,O,CyNER
the,O,9,O,CyNER
recording,O,9,O,CyNER
to,O,9,O,CyNER
an,O,9,O,CyNER
“,O,9,O,CyNER
.amr,B-Indicator,9,B-Indicator,CyNER
”,O,9,O,CyNER
file,O,9,O,CyNER
.,O,9,O,CyNER
The,O,10,O,CyNER
following,O,10,O,CyNER
is,O,10,O,CyNER
the,O,10,O,CyNER
code,O,10,O,CyNER
routine,O,10,O,CyNER
for,O,10,O,CyNER
video,O,10,O,CyNER
capturing,O,10,O,CyNER
.,O,10,O,CyNER
Here,O,11,O,CyNER
",",O,11,O,CyNER
the,O,11,O,CyNER
RAT,O,11,O,CyNER
stores,O,11,O,CyNER
all,O,11,O,CyNER
the,O,11,O,CyNER
captured,O,11,O,CyNER
videos,O,11,O,CyNER
in,O,11,O,CyNER
a,O,11,O,CyNER
“,O,11,O,CyNER
video.3gp,B-Indicator,11,B-Indicator,CyNER
”,O,11,O,CyNER
file,O,11,O,CyNER
.,O,11,O,CyNER
It,O,12,O,CyNER
also,O,12,O,CyNER
harvests,O,12,O,CyNER
call,O,12,O,CyNER
details,O,12,O,CyNER
and,O,12,O,CyNER
SMS,O,12,O,CyNER
logs,O,12,O,CyNER
as,O,12,O,CyNER
shown,O,12,O,CyNER
below,O,12,O,CyNER
.,O,12,O,CyNER
Upon,O,13,O,CyNER
further,O,13,O,CyNER
inspection,O,13,O,CyNER
",",O,13,O,CyNER
we,O,13,O,CyNER
have,O,13,O,CyNER
observed,O,13,O,CyNER
that,O,13,O,CyNER
this,O,13,O,CyNER
RAT,O,13,O,CyNER
extracts,O,13,O,CyNER
WhatsApp,B-System,13,B-Software,CyNER
data,O,13,O,CyNER
too,O,13,O,CyNER
.,O,13,O,CyNER
The,O,14,O,CyNER
RAT,O,14,O,CyNER
stores,O,14,O,CyNER
all,O,14,O,CyNER
the,O,14,O,CyNER
data,O,14,O,CyNER
in,O,14,O,CyNER
a,O,14,O,CyNER
database,O,14,O,CyNER
(,O,14,O,CyNER
DB,O,14,O,CyNER
),O,14,O,CyNER
in,O,14,O,CyNER
order,O,14,O,CyNER
to,O,14,O,CyNER
send,O,14,O,CyNER
it,O,14,O,CyNER
to,O,14,O,CyNER
the,O,14,O,CyNER
Command,O,14,O,CyNER
&,O,14,O,CyNER
Control,O,14,O,CyNER
(,O,14,O,CyNER
C,O,14,O,CyNER
&,O,14,O,CyNER
C,O,14,O,CyNER
),O,14,O,CyNER
server,O,14,O,CyNER
.,O,14,O,CyNER
The,O,15,O,CyNER
following,O,15,O,CyNER
are,O,15,O,CyNER
the,O,15,O,CyNER
DBs,O,15,O,CyNER
created,O,15,O,CyNER
and,O,15,O,CyNER
maintained,O,15,O,CyNER
by,O,15,O,CyNER
the,O,15,O,CyNER
RAT,O,15,O,CyNER
.,O,15,O,CyNER
We,O,16,O,CyNER
saw,O,16,O,CyNER
the,O,16,O,CyNER
following,O,16,O,CyNER
hardcoded,O,16,O,CyNER
C,O,16,O,CyNER
&,O,16,O,CyNER
C,O,16,O,CyNER
server,O,16,O,CyNER
location,O,16,O,CyNER
in,O,16,O,CyNER
the,O,16,O,CyNER
RAT,O,16,O,CyNER
package,O,16,O,CyNER
:,O,16,O,CyNER
Conclusion,O,16,O,CyNER
:,O,16,O,CyNER
The,O,16,O,CyNER
DroidJack,B-Malware,16,B-Malware,CyNER
RAT,I-Malware,16,I-Malware,CyNER
is,O,16,O,CyNER
another,O,16,O,CyNER
example,O,16,O,CyNER
of,O,16,O,CyNER
a,O,16,O,CyNER
growing,O,16,O,CyNER
trend,O,16,O,CyNER
in,O,16,O,CyNER
which,O,16,O,CyNER
malware,O,16,O,CyNER
authors,O,16,O,CyNER
seek,O,16,O,CyNER
to,O,16,O,CyNER
exploit,O,16,O,CyNER
public,O,16,O,CyNER
interest,O,16,O,CyNER
as,O,16,O,CyNER
a,O,16,O,CyNER
way,O,16,O,CyNER
to,O,16,O,CyNER
spread,O,16,O,CyNER
malware,O,16,O,CyNER
.,O,16,O,CyNER
In,O,17,O,CyNER
this,O,17,O,CyNER
case,O,17,O,CyNER
",",O,17,O,CyNER
like,O,17,O,CyNER
others,O,17,O,CyNER
before,O,17,O,CyNER
",",O,17,O,CyNER
the,O,17,O,CyNER
event,O,17,O,CyNER
of,O,17,O,CyNER
a,O,17,O,CyNER
popular,O,17,O,CyNER
game,O,17,O,CyNER
release,O,17,O,CyNER
became,O,17,O,CyNER
an,O,17,O,CyNER
opportunity,O,17,O,CyNER
to,O,17,O,CyNER
trick,O,17,O,CyNER
unsuspecting,O,17,O,CyNER
users,O,17,O,CyNER
into,O,17,O,CyNER
downloading,O,17,O,CyNER
the,O,17,O,CyNER
RAT,O,17,O,CyNER
.,O,17,O,CyNER
As,O,18,O,CyNER
a,O,18,O,CyNER
reminder,O,18,O,CyNER
",",O,18,O,CyNER
it,O,18,O,CyNER
is,O,18,O,CyNER
always,O,18,O,CyNER
a,O,18,O,CyNER
good,O,18,O,CyNER
practice,O,18,O,CyNER
to,O,18,O,CyNER
download,O,18,O,CyNER
apps,O,18,O,CyNER
only,O,18,O,CyNER
from,O,18,O,CyNER
trusted,O,18,O,CyNER
app,O,18,O,CyNER
stores,O,18,O,CyNER
such,O,18,O,CyNER
as,O,18,O,CyNER
Google,B-System,18,B-Software,CyNER
Play,I-System,18,I-Software,CyNER
.,O,18,O,CyNER
This,O,19,O,CyNER
practice,O,19,O,CyNER
can,O,19,O,CyNER
be,O,19,O,CyNER
enforced,O,19,O,CyNER
by,O,19,O,CyNER
unchecking,O,19,O,CyNER
the,O,19,O,CyNER
"""",O,19,O,CyNER
Unknown,O,19,O,CyNER
Sources,O,19,O,CyNER
'',O,19,O,CyNER
option,O,19,O,CyNER
under,O,19,O,CyNER
the,O,19,O,CyNER
"""",O,19,O,CyNER
Security,O,19,O,CyNER
'',O,19,O,CyNER
settings,O,19,O,CyNER
of,O,19,O,CyNER
your,O,19,O,CyNER
device,O,19,O,CyNER
.,O,19,O,CyNER
XLoader,B-Malware,20,B-Malware,CyNER
Disguises,O,20,O,CyNER
as,O,20,O,CyNER
Android,B-System,20,B-Software,CyNER
Apps,O,20,O,CyNER
",",O,20,O,CyNER
Has,O,20,O,CyNER
FakeSpy,B-Malware,20,B-Malware,CyNER
Links,O,20,O,CyNER
This,O,20,O,CyNER
new,O,20,O,CyNER
XLoader,B-Malware,20,B-Malware,CyNER
variant,O,20,O,CyNER
poses,O,20,O,CyNER
as,O,20,O,CyNER
a,O,20,O,CyNER
security,O,20,O,CyNER
app,O,20,O,CyNER
for,O,20,O,CyNER
Android,B-System,20,B-Software,CyNER
devices,O,20,O,CyNER
",",O,20,O,CyNER
and,O,20,O,CyNER
uses,O,20,O,CyNER
a,O,20,O,CyNER
malicious,O,20,O,CyNER
iOS,B-System,20,B-Software,CyNER
profile,O,20,O,CyNER
to,O,20,O,CyNER
affect,O,20,O,CyNER
iPhone,B-System,20,B-Software,CyNER
and,O,20,O,CyNER
iPad,B-System,20,B-Software,CyNER
devices,O,20,O,CyNER
.,O,20,O,CyNER
By,O,21,O,CyNER
:,O,21,O,CyNER
Hara,O,21,O,CyNER
Hiroaki,O,21,O,CyNER
",",O,21,O,CyNER
Lilang,O,21,O,CyNER
Wu,O,21,O,CyNER
",",O,21,O,CyNER
Lorin,O,21,O,CyNER
Wu,O,21,O,CyNER
April,O,21,O,CyNER
02,O,21,O,CyNER
",",O,21,O,CyNER
2019,O,21,O,CyNER
In,O,21,O,CyNER
previous,O,21,O,CyNER
attacks,O,21,O,CyNER
",",O,21,O,CyNER
XLoader,B-Malware,21,B-Malware,CyNER
posed,O,21,O,CyNER
as,O,21,O,CyNER
Facebook,B-System,21,B-Software,CyNER
",",O,21,O,CyNER
Chrome,B-System,21,B-Software,CyNER
and,O,21,O,CyNER
other,O,21,O,CyNER
legitimate,O,21,O,CyNER
applications,O,21,O,CyNER
to,O,21,O,CyNER
trick,O,21,O,CyNER
users,O,21,O,CyNER
into,O,21,O,CyNER
downloading,O,21,O,CyNER
its,O,21,O,CyNER
malicious,O,21,O,CyNER
app,O,21,O,CyNER
.,O,21,O,CyNER
Trend,B-Organization,22,B-Identity,CyNER
Micro,I-Organization,22,I-Identity,CyNER
researchers,O,22,O,CyNER
found,O,22,O,CyNER
a,O,22,O,CyNER
new,O,22,O,CyNER
variant,O,22,O,CyNER
that,O,22,O,CyNER
uses,O,22,O,CyNER
a,O,22,O,CyNER
different,O,22,O,CyNER
way,O,22,O,CyNER
to,O,22,O,CyNER
lure,O,22,O,CyNER
users,O,22,O,CyNER
.,O,22,O,CyNER
This,O,23,O,CyNER
new,O,23,O,CyNER
XLoader,B-Malware,23,B-Malware,CyNER
variant,O,23,O,CyNER
poses,O,23,O,CyNER
as,O,23,O,CyNER
a,O,23,O,CyNER
security,O,23,O,CyNER
app,O,23,O,CyNER
for,O,23,O,CyNER
Android,B-System,23,B-Software,CyNER
devices,O,23,O,CyNER
",",O,23,O,CyNER
and,O,23,O,CyNER
uses,O,23,O,CyNER
a,O,23,O,CyNER
malicious,O,23,O,CyNER
iOS,B-System,23,B-Software,CyNER
profile,O,23,O,CyNER
to,O,23,O,CyNER
affect,O,23,O,CyNER
iPhone,B-System,23,B-Software,CyNER
and,O,23,O,CyNER
iPad,B-System,23,B-Software,CyNER
devices,O,23,O,CyNER
.,O,23,O,CyNER
Aside,O,24,O,CyNER
from,O,24,O,CyNER
a,O,24,O,CyNER
change,O,24,O,CyNER
in,O,24,O,CyNER
its,O,24,O,CyNER
deployment,O,24,O,CyNER
techniques,O,24,O,CyNER
",",O,24,O,CyNER
a,O,24,O,CyNER
few,O,24,O,CyNER
changes,O,24,O,CyNER
in,O,24,O,CyNER
its,O,24,O,CyNER
code,O,24,O,CyNER
set,O,24,O,CyNER
it,O,24,O,CyNER
apart,O,24,O,CyNER
from,O,24,O,CyNER
its,O,24,O,CyNER
previous,O,24,O,CyNER
versions,O,24,O,CyNER
.,O,24,O,CyNER
This,O,25,O,CyNER
newest,O,25,O,CyNER
variant,O,25,O,CyNER
has,O,25,O,CyNER
been,O,25,O,CyNER
labeled,O,25,O,CyNER
XLoader,B-Malware,25,B-Malware,CyNER
version,O,25,O,CyNER
6.0,O,25,O,CyNER
(,O,25,O,CyNER
detected,O,25,O,CyNER
as,O,25,O,CyNER
AndroidOS_XLoader.HRXD,B-Indicator,25,B-Indicator,CyNER
),O,25,O,CyNER
",",O,25,O,CyNER
following,O,25,O,CyNER
the,O,25,O,CyNER
last,O,25,O,CyNER
version,O,25,O,CyNER
discussed,O,25,O,CyNER
in,O,25,O,CyNER
a,O,25,O,CyNER
previous,O,25,O,CyNER
research,O,25,O,CyNER
on,O,25,O,CyNER
the,O,25,O,CyNER
malware,O,25,O,CyNER
family,O,25,O,CyNER
.,O,25,O,CyNER
Infection,O,26,O,CyNER
chain,O,26,O,CyNER
The,O,26,O,CyNER
threat,O,26,O,CyNER
actors,O,26,O,CyNER
behind,O,26,O,CyNER
this,O,26,O,CyNER
version,O,26,O,CyNER
used,O,26,O,CyNER
several,O,26,O,CyNER
fake,O,26,O,CyNER
websites,O,26,O,CyNER
as,O,26,O,CyNER
their,O,26,O,CyNER
host,O,26,O,CyNER
—,O,26,O,CyNER
copying,O,26,O,CyNER
that,O,26,O,CyNER
of,O,26,O,CyNER
a,O,26,O,CyNER
Japanese,O,26,O,CyNER
mobile,O,26,O,CyNER
phone,O,26,O,CyNER
operator,O,26,O,CyNER
’,O,26,O,CyNER
s,O,26,O,CyNER
website,O,26,O,CyNER
in,O,26,O,CyNER
particular,O,26,O,CyNER
—,O,26,O,CyNER
to,O,26,O,CyNER
trick,O,26,O,CyNER
users,O,26,O,CyNER
into,O,26,O,CyNER
downloading,O,26,O,CyNER
the,O,26,O,CyNER
fake,O,26,O,CyNER
security,O,26,O,CyNER
Android,B-System,26,B-Software,CyNER
application,O,26,O,CyNER
package,O,26,O,CyNER
(,O,26,O,CyNER
APK,O,26,O,CyNER
),O,26,O,CyNER
.,O,26,O,CyNER
Monitoring,O,27,O,CyNER
efforts,O,27,O,CyNER
on,O,27,O,CyNER
this,O,27,O,CyNER
new,O,27,O,CyNER
variant,O,27,O,CyNER
revealed,O,27,O,CyNER
that,O,27,O,CyNER
the,O,27,O,CyNER
malicious,O,27,O,CyNER
websites,O,27,O,CyNER
are,O,27,O,CyNER
spread,O,27,O,CyNER
through,O,27,O,CyNER
smishing,O,27,O,CyNER
.,O,27,O,CyNER
The,O,28,O,CyNER
infection,O,28,O,CyNER
has,O,28,O,CyNER
not,O,28,O,CyNER
spread,O,28,O,CyNER
very,O,28,O,CyNER
widely,O,28,O,CyNER
at,O,28,O,CyNER
the,O,28,O,CyNER
time,O,28,O,CyNER
of,O,28,O,CyNER
writing,O,28,O,CyNER
",",O,28,O,CyNER
but,O,28,O,CyNER
we,O,28,O,CyNER
’,O,28,O,CyNER
ve,O,28,O,CyNER
seen,O,28,O,CyNER
that,O,28,O,CyNER
many,O,28,O,CyNER
users,O,28,O,CyNER
have,O,28,O,CyNER
already,O,28,O,CyNER
received,O,28,O,CyNER
its,O,28,O,CyNER
SMS,O,28,O,CyNER
content,O,28,O,CyNER
.,O,28,O,CyNER
In,O,29,O,CyNER
the,O,29,O,CyNER
past,O,29,O,CyNER
",",O,29,O,CyNER
XLoader,B-Malware,29,B-Malware,CyNER
showed,O,29,O,CyNER
the,O,29,O,CyNER
ability,O,29,O,CyNER
to,O,29,O,CyNER
mine,O,29,O,CyNER
cryptocurrency,O,29,O,CyNER
on,O,29,O,CyNER
PCs,O,29,O,CyNER
and,O,29,O,CyNER
perform,O,29,O,CyNER
account,O,29,O,CyNER
phishing,O,29,O,CyNER
on,O,29,O,CyNER
iOS,B-System,29,B-Software,CyNER
devices,O,29,O,CyNER
.,O,29,O,CyNER
This,O,30,O,CyNER
new,O,30,O,CyNER
wave,O,30,O,CyNER
also,O,30,O,CyNER
presents,O,30,O,CyNER
unique,O,30,O,CyNER
attack,O,30,O,CyNER
vectors,O,30,O,CyNER
based,O,30,O,CyNER
on,O,30,O,CyNER
the,O,30,O,CyNER
kind,O,30,O,CyNER
of,O,30,O,CyNER
device,O,30,O,CyNER
it,O,30,O,CyNER
has,O,30,O,CyNER
accessed,O,30,O,CyNER
.,O,30,O,CyNER
In,O,31,O,CyNER
the,O,31,O,CyNER
case,O,31,O,CyNER
of,O,31,O,CyNER
Android,B-System,31,B-Software,CyNER
devices,O,31,O,CyNER
",",O,31,O,CyNER
accessing,O,31,O,CyNER
the,O,31,O,CyNER
malicious,O,31,O,CyNER
website,O,31,O,CyNER
or,O,31,O,CyNER
pressing,O,31,O,CyNER
any,O,31,O,CyNER
of,O,31,O,CyNER
the,O,31,O,CyNER
buttons,O,31,O,CyNER
will,O,31,O,CyNER
prompt,O,31,O,CyNER
the,O,31,O,CyNER
download,O,31,O,CyNER
of,O,31,O,CyNER
the,O,31,O,CyNER
APK,O,31,O,CyNER
.,O,31,O,CyNER
However,O,32,O,CyNER
",",O,32,O,CyNER
successfully,O,32,O,CyNER
installing,O,32,O,CyNER
this,O,32,O,CyNER
malicious,O,32,O,CyNER
APK,O,32,O,CyNER
requires,O,32,O,CyNER
that,O,32,O,CyNER
the,O,32,O,CyNER
user,O,32,O,CyNER
has,O,32,O,CyNER
allowed,O,32,O,CyNER
the,O,32,O,CyNER
installation,O,32,O,CyNER
of,O,32,O,CyNER
such,O,32,O,CyNER
apps,O,32,O,CyNER
as,O,32,O,CyNER
controlled,O,32,O,CyNER
in,O,32,O,CyNER
the,O,32,O,CyNER
Unknown,O,32,O,CyNER
Sources,O,32,O,CyNER
settings,O,32,O,CyNER
.,O,32,O,CyNER
If,O,33,O,CyNER
users,O,33,O,CyNER
allow,O,33,O,CyNER
such,O,33,O,CyNER
apps,O,33,O,CyNER
to,O,33,O,CyNER
be,O,33,O,CyNER
installed,O,33,O,CyNER
",",O,33,O,CyNER
then,O,33,O,CyNER
it,O,33,O,CyNER
can,O,33,O,CyNER
be,O,33,O,CyNER
actively,O,33,O,CyNER
installed,O,33,O,CyNER
on,O,33,O,CyNER
the,O,33,O,CyNER
victim,O,33,O,CyNER
’,O,33,O,CyNER
s,O,33,O,CyNER
device,O,33,O,CyNER
.,O,33,O,CyNER
The,O,34,O,CyNER
infection,O,34,O,CyNER
chain,O,34,O,CyNER
is,O,34,O,CyNER
slightly,O,34,O,CyNER
more,O,34,O,CyNER
roundabout,O,34,O,CyNER
in,O,34,O,CyNER
the,O,34,O,CyNER
case,O,34,O,CyNER
of,O,34,O,CyNER
Apple,B-System,34,B-Software,CyNER
devices,O,34,O,CyNER
.,O,34,O,CyNER
Accessing,O,35,O,CyNER
the,O,35,O,CyNER
same,O,35,O,CyNER
malicious,O,35,O,CyNER
site,O,35,O,CyNER
would,O,35,O,CyNER
redirect,O,35,O,CyNER
its,O,35,O,CyNER
user,O,35,O,CyNER
to,O,35,O,CyNER
another,O,35,O,CyNER
malicious,O,35,O,CyNER
website,O,35,O,CyNER
(,O,35,O,CyNER
hxxp,B-Indicator,35,B-Indicator,CyNER
:,I-Indicator,35,I-Indicator,CyNER
//apple-icloud,I-Indicator,35,I-Indicator,CyNER
[,I-Indicator,35,I-Indicator,CyNER
.,I-Indicator,35,I-Indicator,CyNER
],I-Indicator,36,I-Indicator,CyNER
qwq-japan,I-Indicator,36,I-Indicator,CyNER
[,I-Indicator,36,I-Indicator,CyNER
.,I-Indicator,36,I-Indicator,CyNER
],I-Indicator,37,I-Indicator,CyNER
com,I-Indicator,37,I-Indicator,CyNER
or,O,37,O,CyNER
hxxp,B-Indicator,37,B-Indicator,CyNER
:,I-Indicator,37,I-Indicator,CyNER
//apple-icloud,I-Indicator,37,I-Indicator,CyNER
[,I-Indicator,37,I-Indicator,CyNER
.,I-Indicator,37,I-Indicator,CyNER
],I-Indicator,38,I-Indicator,CyNER
zqo-japan,I-Indicator,38,I-Indicator,CyNER
[,I-Indicator,38,I-Indicator,CyNER
.,I-Indicator,38,I-Indicator,CyNER
],I-Indicator,39,I-Indicator,CyNER
com,I-Indicator,39,I-Indicator,CyNER
),O,39,O,CyNER
that,O,39,O,CyNER
prompts,O,39,O,CyNER
the,O,39,O,CyNER
user,O,39,O,CyNER
to,O,39,O,CyNER
install,O,39,O,CyNER
a,O,39,O,CyNER
malicious,O,39,O,CyNER
iOS,B-System,39,B-Software,CyNER
configuration,O,39,O,CyNER
profile,O,39,O,CyNER
to,O,39,O,CyNER
solve,O,39,O,CyNER
a,O,39,O,CyNER
network,O,39,O,CyNER
issue,O,39,O,CyNER
preventing,O,39,O,CyNER
the,O,39,O,CyNER
site,O,39,O,CyNER
to,O,39,O,CyNER
load,O,39,O,CyNER
.,O,39,O,CyNER
If,O,40,O,CyNER
the,O,40,O,CyNER
user,O,40,O,CyNER
installs,O,40,O,CyNER
the,O,40,O,CyNER
profile,O,40,O,CyNER
",",O,40,O,CyNER
the,O,40,O,CyNER
malicious,O,40,O,CyNER
website,O,40,O,CyNER
will,O,40,O,CyNER
open,O,40,O,CyNER
",",O,40,O,CyNER
revealing,O,40,O,CyNER
it,O,40,O,CyNER
to,O,40,O,CyNER
be,O,40,O,CyNER
an,O,40,O,CyNER
Apple,B-Organization,40,B-Identity,CyNER
phishing,O,40,O,CyNER
site,O,40,O,CyNER
",",O,40,O,CyNER
as,O,40,O,CyNER
seen,O,40,O,CyNER
in,O,40,O,CyNER
figure,O,40,O,CyNER
2,O,40,O,CyNER
.,O,40,O,CyNER
Technical,O,41,O,CyNER
analysis,O,41,O,CyNER
Most,O,41,O,CyNER
of,O,41,O,CyNER
this,O,41,O,CyNER
new,O,41,O,CyNER
attack,O,41,O,CyNER
’,O,41,O,CyNER
s,O,41,O,CyNER
routines,O,41,O,CyNER
are,O,41,O,CyNER
similar,O,41,O,CyNER
to,O,41,O,CyNER
those,O,41,O,CyNER
of,O,41,O,CyNER
the,O,41,O,CyNER
previous,O,41,O,CyNER
XLoader,B-Malware,41,B-Malware,CyNER
versions,O,41,O,CyNER
.,O,41,O,CyNER
However,O,42,O,CyNER
",",O,42,O,CyNER
as,O,42,O,CyNER
mentioned,O,42,O,CyNER
earlier,O,42,O,CyNER
",",O,42,O,CyNER
an,O,42,O,CyNER
analysis,O,42,O,CyNER
of,O,42,O,CyNER
this,O,42,O,CyNER
new,O,42,O,CyNER
variant,O,42,O,CyNER
showed,O,42,O,CyNER
some,O,42,O,CyNER
changes,O,42,O,CyNER
in,O,42,O,CyNER
its,O,42,O,CyNER
code,O,42,O,CyNER
in,O,42,O,CyNER
line,O,42,O,CyNER
with,O,42,O,CyNER
